condition,strategy,timeout_ms,run,frame,stall_ms
congested,reset-at-keyframe,100,2,275,988.0
congested,reset-at-keyframe,100,2,276,351.0
congested,reset-at-keyframe,100,2,277,944.0
congested,reset-at-keyframe,100,2,466,588.0
congested,reset-at-keyframe,100,2,467,940.0
congested,reset-at-keyframe,100,2,468,977.0
congested,reset-at-keyframe,100,3,266,453.0
congested,reset-at-keyframe,100,3,267,1035.0
congested,reset-at-keyframe,100,3,268,1107.0
congested,reset-at-keyframe,100,3,269,999.0
congested,reset-at-keyframe,100,3,270,1047.0
congested,reset-at-keyframe,100,3,271,1058.0
congested,reset-at-keyframe,100,3,272,998.0
congested,reset-at-keyframe,100,3,273,999.0
congested,reset-at-keyframe,100,3,274,1024.0
congested,reset-at-keyframe,100,3,275,987.0
congested,reset-at-keyframe,100,3,276,352.0
congested,reset-at-keyframe,100,3,277,943.0
congested,reset-at-keyframe,100,3,466,588.0
congested,reset-at-keyframe,100,3,467,941.0
congested,reset-at-keyframe,100,3,468,976.0
congested,reset-at-keyframe,100,4,266,450.0
congested,reset-at-keyframe,100,4,267,1035.0
congested,reset-at-keyframe,100,4,268,1106.0
congested,reset-at-keyframe,100,4,269,999.0
congested,reset-at-keyframe,100,4,270,1048.0
congested,reset-at-keyframe,100,4,271,1059.0
congested,reset-at-keyframe,100,4,272,997.0
congested,reset-at-keyframe,100,4,273,1012.0
congested,reset-at-keyframe,100,4,274,1012.0
congested,reset-at-keyframe,100,4,275,986.0
congested,reset-at-keyframe,100,4,276,352.0
congested,reset-at-keyframe,100,4,277,944.0
congested,reset-at-keyframe,100,4,466,589.0
congested,reset-at-keyframe,100,4,467,940.0
congested,reset-at-keyframe,100,4,468,975.0
congested,reset-at-keyframe,100,5,266,468.0
congested,reset-at-keyframe,100,5,267,1035.0
congested,reset-at-keyframe,100,5,268,1107.0
congested,reset-at-keyframe,100,5,269,1000.0
congested,reset-at-keyframe,100,5,270,1047.0
congested,reset-at-keyframe,100,5,271,1058.0
congested,reset-at-keyframe,100,5,272,997.0
congested,reset-at-keyframe,100,5,273,1001.0
congested,reset-at-keyframe,100,5,274,1022.0
congested,reset-at-keyframe,100,5,275,987.0
congested,reset-at-keyframe,100,5,276,352.0
congested,reset-at-keyframe,100,5,277,944.0
congested,reset-at-keyframe,100,5,466,589.0
congested,reset-at-keyframe,100,5,467,940.0
congested,reset-at-keyframe,100,5,468,976.0
congested,reset-at-keyframe,100,6,266,452.0
congested,reset-at-keyframe,100,6,267,1035.0
congested,reset-at-keyframe,100,6,268,1106.0
congested,reset-at-keyframe,100,6,269,999.0
congested,reset-at-keyframe,100,6,270,1048.0
congested,reset-at-keyframe,100,6,271,1058.0
congested,reset-at-keyframe,100,6,272,996.0
congested,reset-at-keyframe,100,6,273,1000.0
congested,reset-at-keyframe,100,6,274,1023.0
congested,reset-at-keyframe,100,6,275,987.0
congested,reset-at-keyframe,100,6,276,352.0
congested,reset-at-keyframe,100,6,277,944.0
congested,reset-at-keyframe,100,6,466,606.0
congested,reset-at-keyframe,100,6,467,940.0
congested,reset-at-keyframe,100,6,468,976.0
congested,reset-at-keyframe,100,7,266,452.0
congested,reset-at-keyframe,100,7,267,1036.0
congested,reset-at-keyframe,100,7,268,1105.0
congested,reset-at-keyframe,100,7,269,999.0
congested,reset-at-keyframe,100,7,270,1047.0
congested,reset-at-keyframe,100,7,271,1059.0
congested,reset-at-keyframe,100,7,272,996.0
congested,reset-at-keyframe,100,7,273,1000.0
congested,reset-at-keyframe,100,7,274,1024.0
congested,reset-at-keyframe,100,7,275,987.0
congested,reset-at-keyframe,100,7,276,352.0
congested,reset-at-keyframe,100,7,277,944.0
congested,reset-at-keyframe,100,7,466,589.0
congested,reset-at-keyframe,100,7,467,940.0
congested,reset-at-keyframe,100,7,468,976.0
congested,reset-at-keyframe,100,8,266,449.0
congested,reset-at-keyframe,100,8,267,1035.0
congested,reset-at-keyframe,100,8,268,1107.0
congested,reset-at-keyframe,100,8,269,999.0
congested,reset-at-keyframe,100,8,270,1047.0
congested,reset-at-keyframe,100,8,271,1059.0
congested,reset-at-keyframe,100,8,272,997.0
congested,reset-at-keyframe,100,8,273,999.0
congested,reset-at-keyframe,100,8,274,1024.0
congested,reset-at-keyframe,100,8,275,987.0
congested,reset-at-keyframe,100,8,276,354.0
congested,reset-at-keyframe,100,8,277,943.0
congested,reset-at-keyframe,100,8,466,588.0
congested,reset-at-keyframe,100,8,467,941.0
congested,reset-at-keyframe,100,8,468,975.0
congested,reset-at-keyframe,100,9,263,552.0
congested,reset-at-keyframe,100,9,264,1035.0
congested,reset-at-keyframe,100,9,265,1107.0
congested,reset-at-keyframe,100,9,266,999.0
congested,reset-at-keyframe,100,9,267,1047.0
congested,reset-at-keyframe,100,9,268,1060.0
congested,reset-at-keyframe,100,9,269,984.0
congested,reset-at-keyframe,100,9,270,1011.0
congested,reset-at-keyframe,100,9,271,1024.0
congested,reset-at-keyframe,100,9,272,975.0
congested,reset-at-keyframe,100,9,273,364.0
congested,reset-at-keyframe,100,9,274,944.0
congested,reset-at-keyframe,100,9,463,588.0
congested,reset-at-keyframe,100,9,464,940.0
congested,reset-at-keyframe,100,9,465,977.0
congested,reset-at-keyframe,100,10,237,312.0
congested,reset-at-keyframe,100,10,238,1107.0
congested,reset-at-keyframe,100,10,239,1036.0
congested,reset-at-keyframe,100,10,240,1093.0
congested,reset-at-keyframe,100,10,241,1011.0
congested,reset-at-keyframe,100,10,242,1035.0
congested,reset-at-keyframe,100,10,243,1060.0
congested,reset-at-keyframe,100,10,244,996.0
congested,reset-at-keyframe,100,10,245,1024.0
congested,reset-at-keyframe,100,10,246,1011.0
congested,reset-at-keyframe,100,10,247,987.0
congested,reset-at-keyframe,100,10,248,352.0
congested,reset-at-keyframe,100,10,249,945.0
congested,reset-at-keyframe,100,10,438,588.0
congested,reset-at-keyframe,100,10,439,940.0
congested,reset-at-keyframe,100,10,440,977.0
congested,reset-at-keyframe,200,1,267,416.0
congested,reset-at-keyframe,200,1,268,1036.0
congested,reset-at-keyframe,200,1,296,704.0
congested,reset-at-keyframe,200,1,297,664.0
congested,reset-at-keyframe,200,1,298,714.0
congested,reset-at-keyframe,200,1,299,1059.0
congested,reset-at-keyframe,200,1,300,997.0
congested,reset-at-keyframe,200,1,301,999.0
congested,reset-at-keyframe,200,1,302,1011.0
congested,reset-at-keyframe,200,1,303,999.0
congested,reset-at-keyframe,200,1,304,352.0
congested,reset-at-keyframe,200,1,523,532.0
