condition,strategy,timeout_ms,run,group_id,object_id,frame_type,latency_ms
baseline,none,0,1,5,6,P,50.4
baseline,none,0,1,5,7,P,50.4
baseline,none,0,1,5,8,P,50.4
baseline,none,0,1,5,9,P,50.5
baseline,none,0,1,5,10,P,50.4
baseline,none,0,1,5,11,P,50.6
baseline,none,0,1,5,12,P,50.8
baseline,none,0,1,5,13,P,50.6
baseline,none,0,1,5,14,P,50.5
baseline,none,0,1,5,15,P,50.4
baseline,none,0,1,5,16,P,50.6
baseline,none,0,1,5,17,P,50.4
baseline,none,0,1,5,18,P,50.6
baseline,none,0,1,5,19,P,50.3
baseline,none,0,1,5,20,P,50.2
baseline,none,0,1,5,21,P,50.4
baseline,none,0,1,5,22,P,50.5
baseline,none,0,1,5,23,P,50.3
baseline,none,0,1,5,24,P,50.2
baseline,none,0,1,5,25,P,50.2
baseline,none,0,1,5,26,P,50.2
baseline,none,0,1,5,27,P,50.2
baseline,none,0,1,5,28,P,50.2
baseline,none,0,1,5,29,P,50.2
baseline,none,0,1,6,0,I,56.2
baseline,none,0,1,6,1,P,50.2
baseline,none,0,1,6,2,P,50.3
baseline,none,0,1,6,3,P,50.4
baseline,none,0,1,6,4,P,50.2
baseline,none,0,1,6,5,P,50.2
baseline,none,0,1,6,6,P,50.3
baseline,none,0,1,6,7,P,50.3
baseline,none,0,1,6,8,P,50.4
baseline,none,0,1,6,9,P,50.4
baseline,none,0,1,6,10,P,50.4
baseline,none,0,1,6,11,P,50.3
baseline,none,0,1,6,12,P,50.3
baseline,none,0,1,6,13,P,50.3
baseline,none,0,1,6,14,P,50.2
baseline,none,0,1,6,15,P,50.2
baseline,none,0,1,6,16,P,50.3
baseline,none,0,1,6,17,P,51.5
baseline,none,0,1,6,18,P,50.4
baseline,none,0,1,6,19,P,50.4
baseline,none,0,1,6,20,P,50.6
baseline,none,0,1,6,21,P,50.6
baseline,none,0,1,6,22,P,50.7
baseline,none,0,1,6,23,P,50.6
baseline,none,0,1,6,24,P,50.7
baseline,none,0,1,6,25,P,50.4
baseline,none,0,1,6,26,P,50.5
baseline,none,0,1,6,27,P,50.5
baseline,none,0,1,6,28,P,50.4
baseline,none,0,1,6,29,P,50.3
baseline,none,0,1,7,0,I,57.6
baseline,none,0,1,7,1,P,50.2
baseline,none,0,1,7,2,P,50.3
baseline,none,0,1,7,3,P,50.6
baseline,none,0,1,7,4,P,50.3
baseline,none,0,1,7,5,P,50.3
baseline,none,0,1,7,6,P,50.6
baseline,none,0,1,7,7,P,50.4
baseline,none,0,1,7,8,P,50.6
baseline,none,0,1,7,9,P,50.5
baseline,none,0,1,7,10,P,50.4
baseline,none,0,1,7,11,P,50.4
baseline,none,0,1,7,12,P,50.5
baseline,none,0,1,7,13,P,50.5
baseline,none,0,1,7,14,P,50.4
baseline,none,0,1,7,15,P,50.4
baseline,none,0,1,7,16,P,50.5
baseline,none,0,1,7,17,P,50.6
baseline,none,0,1,7,18,P,50.4
baseline,none,0,1,7,19,P,50.3
baseline,none,0,1,7,20,P,50.7
baseline,none,0,1,7,21,P,50.4
baseline,none,0,1,7,22,P,50.3
baseline,none,0,1,7,23,P,50.4
baseline,none,0,1,7,24,P,50.4
baseline,none,0,1,7,25,P,50.7
baseline,none,0,1,7,26,P,50.6
baseline,none,0,1,7,27,P,50.4
baseline,none,0,1,7,28,P,50.3
baseline,none,0,1,7,29,P,50.2
baseline,none,0,1,8,0,I,60.3
baseline,none,0,1,8,1,P,50.3
baseline,none,0,1,8,2,P,50.4
baseline,none,0,1,8,3,P,50.5
baseline,none,0,1,8,4,P,50.4
baseline,none,0,1,8,5,P,50.4
baseline,none,0,1,8,6,P,50.3
baseline,none,0,1,8,7,P,50.5
baseline,none,0,1,8,8,P,50.6
baseline,none,0,1,8,9,P,50.5
baseline,none,0,1,8,10,P,50.6
baseline,none,0,1,8,11,P,50.4
baseline,none,0,1,8,12,P,50.6
baseline,none,0,1,8,13,P,50.4
baseline,none,0,1,8,14,P,50.4
baseline,none,0,1,8,15,P,50.5
baseline,none,0,1,8,16,P,50.6
baseline,none,0,1,8,17,P,50.5
baseline,none,0,1,8,18,P,50.6
baseline,none,0,1,8,19,P,50.5
baseline,none,0,1,8,20,P,50.7
baseline,none,0,1,8,21,P,50.3
baseline,none,0,1,8,22,P,50.3
baseline,none,0,1,8,23,P,50.3
baseline,none,0,1,8,24,P,50.4
baseline,none,0,1,8,25,P,51.0
baseline,none,0,1,8,26,P,50.5
baseline,none,0,1,8,27,P,50.4
baseline,none,0,1,8,28,P,50.5
baseline,none,0,1,8,29,P,53.4
baseline,none,0,1,9,0,I,68.5
baseline,none,0,1,9,1,P,50.3
baseline,none,0,1,9,2,P,50.4
baseline,none,0,1,9,3,P,50.4
baseline,none,0,1,9,4,P,50.4
baseline,none,0,1,9,5,P,50.4
baseline,none,0,1,9,6,P,50.4
baseline,none,0,1,9,7,P,50.5
baseline,none,0,1,9,8,P,50.7
baseline,none,0,1,9,9,P,50.6
baseline,none,0,1,9,10,P,50.4
baseline,none,0,1,9,11,P,50.6
baseline,none,0,1,9,12,P,50.4
baseline,none,0,1,9,13,P,50.9
baseline,none,0,1,9,14,P,50.6
baseline,none,0,1,9,15,P,50.4
baseline,none,0,1,9,16,P,50.5
baseline,none,0,1,9,17,P,50.4
baseline,none,0,1,9,18,P,50.6
baseline,none,0,1,9,19,P,50.3
baseline,none,0,1,9,20,P,50.4
baseline,none,0,1,9,21,P,50.4
baseline,none,0,1,9,22,P,50.5
baseline,none,0,1,9,23,P,50.4
baseline,none,0,1,9,24,P,50.4
baseline,none,0,1,9,25,P,50.4
baseline,none,0,1,9,26,P,50.3
baseline,none,0,1,9,27,P,50.3
baseline,none,0,1,9,28,P,50.6
baseline,none,0,1,9,29,P,50.6
baseline,none,0,1,10,0,I,72.9
baseline,none,0,1,10,1,P,50.2
baseline,none,0,1,10,2,P,50.4
baseline,none,0,1,10,3,P,50.5
baseline,none,0,1,10,4,P,50.5
baseline,none,0,1,10,5,P,50.4
baseline,none,0,1,10,6,P,50.4
baseline,none,0,1,10,7,P,50.6
baseline,none,0,1,10,8,P,50.8
baseline,none,0,1,10,9,P,50.7
