condition,strategy,timeout_ms,run,num_frames,stall_count,stall_total_s,stall_from_duration_s,stall_max_ms
baseline,reset-stream,100,9,883,0,0.0,0,0
baseline,reset-stream,100,10,883,0,0.0,0,0
baseline,reset-stream,200,1,883,0,0.0,0,0
baseline,reset-stream,200,2,883,0,0.0,0,0
baseline,reset-stream,200,3,883,0,0.0,0,0
baseline,reset-stream,200,4,883,0,0.0,0,0
baseline,reset-stream,200,5,883,0,0.0,0,0
baseline,reset-stream,200,6,883,0,0.0,0,0
baseline,reset-stream,200,7,883,0,0.0,0,0
baseline,reset-stream,200,8,883,0,0.0,0,0
baseline,reset-stream,200,9,883,0,0.0,0,0
baseline,reset-stream,200,10,883,0,0.0,0,0
baseline,reset-stream,500,1,883,0,0.0,0,0
baseline,reset-stream,500,2,883,0,0.0,0,0
baseline,reset-stream,500,3,883,0,0.0,0,0
baseline,reset-stream,500,4,883,0,0.0,0,0
baseline,reset-stream,500,5,883,0,0.0,0,0
baseline,reset-stream,500,6,883,0,0.0,0,0
baseline,reset-stream,500,7,883,0,0.0,0,0
baseline,reset-stream,500,8,883,0,0.0,0,0
baseline,reset-stream,500,9,883,0,0.0,0,0
baseline,reset-stream,500,10,883,0,0.0,0,0
baseline,reset-stream,1000,1,883,0,0.0,0,0
baseline,reset-stream,1000,2,883,0,0.0,0,0
baseline,reset-stream,1000,3,883,0,0.0,0,0
baseline,reset-stream,1000,4,883,0,0.0,0,0
baseline,reset-stream,1000,5,883,0,0.0,0,0
baseline,reset-stream,1000,6,883,0,0.0,0,0
baseline,reset-stream,1000,7,883,0,0.0,0,0
baseline,reset-stream,1000,8,883,0,0.0,0,0
baseline,reset-stream,1000,9,883,0,0.0,0,0
baseline,reset-stream,1000,10,883,0,0.0,0,0
congested,none,0,1,883,14,7.624,9.127,901.0
congested,none,0,2,883,15,7.511,9.12,901.0
congested,none,0,3,882,15,7.511,9.145,901.0
congested,none,0,4,881,13,7.392,9.284,901.0
congested,none,0,5,883,15,7.566,9.129,961.0
congested,none,0,6,883,15,7.509,9.139,901.0
congested,none,0,7,883,16,7.671,9.128,924.0
congested,none,0,8,881,14,7.451,9.251,901.0
congested,none,0,9,883,15,7.509,9.095,900.0
congested,none,0,10,883,15,7.548,9.144,948.0
congested,reset-at-keyframe,100,1,467,15,13.04,12.74,1106.0
congested,reset-at-keyframe,100,2,468,15,13.004,12.705,1106.0
congested,reset-at-keyframe,100,3,468,15,13.007,12.711,1107.0
congested,reset-at-keyframe,100,4,468,15,13.004,12.724,1106.0
