condition,strategy,timeout_ms,run,pub_total,pub_i,pub_p,recv_total,recv_i,recv_p,objects_dropped,groups_reset,groups_complete,delivery_ratio
baseline,reset-at-object,100,8,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,200,8,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,500,8,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,1000,9,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,100,9,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,200,9,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,500,9,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,1000,10,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,100,10,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,200,10,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-object,500,10,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,1000,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,100,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,200,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,500,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,1000,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,100,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,200,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,500,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,1000,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,100,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,200,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,500,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,1000,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,100,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,200,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,500,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,1000,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,100,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,200,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,500,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-stream,1000,6,900,32,868,900,32,868,0,0,32,1.0000
